run_id,n_obs,mean_daily,vol_daily,sharpe,cagr,max_dd
20260126_001632_d34452d3_BuyHold_SPY,1264,0.00014413184648740362,0.004701882376900608,0.48661832590747867,0.03410056282396834,-0.12067838470188053
20260126_001632_3c44a4af_BuyHold_XLE,1264,6.801520590007908e-05,0.005819448310499763,0.18553441211028657,0.012941275499628535,-0.1447079985877624
20260126_001632_4e5dbcd3_StateSignal_XLE,1264,5.245101131424164e-06,0.005117297578112598,0.01627097074184632,-0.0019870570465054804,-0.14342221073234007
20260126_001632_b1e096f3_StateSignal_XLE,1264,0.00015822305721773048,0.0051530341232544465,0.48742412845899286,0.037185284261699536,-0.11630183618039658
20260126_001632_a0be7977_StateSignal_XLE,1264,9.213150476999626e-05,0.004176802774608837,0.35015833309256417,0.021230078415980236,-0.08300694913522833
20260126_001632_3acccb11_StateSignal_XLE,1264,5.3079221167937694e-05,0.0019803913615478665,0.425474747230554,0.012966887979728892,-0.04316147449255692
20260126_001632_c771f2eb_StateSignal_XLE,1264,1.9576792371332553e-05,0.0036257736684178923,0.08571189845751175,0.003272956633064261,-0.08300694913522821
20260126_001632_00ec7e4d_StateSignal_XLE,1264,7.824633430565463e-05,0.005803796609376677,0.21401887989050447,0.015579552446721046,-0.1447079985877625
20260126_001632_a7dc23da_StateSignal_XLE,1264,-3.0252481516259087e-05,0.0014964817719043265,-0.32091487168365035,-0.007876946737581214,-0.050968011822052794
20260126_001632_dd9b60c3_StateSignal_XLE,1264,0.00016361653081125842,0.004080325347029099,0.6365501974800831,0.039905465893004255,-0.06831996848676136
20260126_001633_4be2625c_StateSignal_XLE,1264,2.392767052296255e-05,0.0017620064857989171,0.21557241531314447,0.005656307413194783,-0.062034767846123495
20260126_001633_4de085c0_StateSignal_SPY,1264,-2.7766931564054664e-06,0.0020612282077647442,-0.021384646876001754,-0.0012349824843860269,-0.057347235381276285
20260126_001633_931e223f_StateSignal_SPY,1264,0.00017742002228512925,0.003231257608538557,0.871628288619728,0.04435054372623881,-0.04563884356367809
20260126_001633_64609a82_StateSignal_SPY,1264,8.04578766537839e-05,0.004268465011333911,0.29922447354305304,0.018140269562211264,-0.10142086213149781
